# Intensity	Potential (V)	Current (nA)
3	-2.18	13.0
3	-1.38	13.0
3	-0.83	13.0
3	-0.44	17.0
3	0.0	33.0
3	1.13	100.0
3	1.81	150.0
3	2.63	230.0
3	3.42	290.0
3	4.38	340.0
3	5.2	360.0
2	-5.35	14.0
2	-2.05	14.0
2	-1.30	14.0
2	-0.82	14.0
2	-0.42	15.0
2	0.0	20.0
2	1.07	59.0
2	2.11	100.0
2	3.21	150.0
2	4.18	190.0
2	5.36	210.0
1	-5.3	13.0
1	-1.25	13.0
1	-0.6	13.0
1	0.0	14.0
1	1.06	17.0
1	2.01	23.0
1	2.96	33.0
1	4.21	45.0
1	5.35	50.0
