#U (kV)	r1 (mm)	r2 (mm)	λ (pm)	λσ (pm)
3.5	1.56	2.6	20.6	0.3
4.0	1.44	2.41	19.3	0.2
4.5	1.34	2.37	18.2	0.2
5.0	1.3	2.22	17.3	0.2
