970	131.719	164.86	93.6877	394.445	176.651	83.2301
980	132.052	166.531	94.2917	398.907	177.776	83.5965
990	132.33	168.124	94.8409	403.239	178.928	83.8882
1000	133.326	168.42	95.5646	406.224	181.326	84.8891
1010	133.74	170.102	96.2507	410.544	182.285	85.2785
1020	133.847	171.453	96.6298	414.485	183.524	85.3416
1030	134.263	172.259	96.7739	417.83	185.258	85.8208
1040	134.617	173.103	96.8568	421.164	186.904	86.2578
1050	135.525	173.372	97.4938	423.873	189.077	87.2676
1060	136.601	173.449	98.2996	426.343	191.392	88.4646
1070	138.958	174.676	100.388	427.459	194.963	90.9628
1080	140.912	175.52	102.073	428.911	198.104	93.0757
