0	20.6
10	20.
20	20.2
30	20.2
40	20.3
50	20.2
60	20.2
70	20.1
80	20.1
90	21.
100	20.6
110	20.2
120	19.9
130	19.8
140	20.2
150	20.3
160	20.2
170	20.9
180	21.
190	21.3
200	24.6
210	27.
220	30.7
230	36.7
240	43.8
250	49.3
260	53.1
270	58.6
280	64.1
290	74.4
300	77.
310	84.3
320	89.5
330	94.7
340	98.8
350	104.3
360	109.2
370	112.5
380	116.4
390	121.2
400	126.1
410	128.6
420	131.8
430	133.5
440	134.4
450	143.2
460	145.4
470	149.7
480	152.1
490	156.4
500	158.
510	162.1
520	163.4
530	165.6
540	167.1
550	169.3
560	172.9
570	173.4
580	175.4
590	177.
600	181.
610	184.5
620	186.8
630	187.6
640	188.9
650	191.3
660	194.4
670	196.2
680	196.1
690	197.6
700	197.9
710	201.
720	201.
730	202.1
740	203.6
750	203.7
760	205.7
770	206.3
780	207.8
790	210.1
800	209.9
810	210.7
820	211.4
830	211.2
840	213.1
850	213.4
860	215.7
870	215.1
880	216.
890	216.4
900	217.5
910	216.2
920	219.4
930	219.7
940	219.7
950	220.4
960	222.4
970	222.7
980	222.9
990	223.5
1000	225.3
1010	224.4
1020	225.2
1030	226.2
1040	226.6
1050	227.6
1060	228.2
1070	229.9
1080	229.9
